store_name,location,product_name,category,price,units_sold,revenue
Store_4,Ahmedabad,Leather Wallet,Accessories,520.24,37,19248.88
Store_47,Ahmedabad,Running Shoes,Footwear,953.38,32,30508.16
Store_7,Pune,Office Chair,Furniture,6747.63,7,47233.41
Store_35,Bengaluru,Formal Shirt,Apparel,5109.48,21,107299.08
Store_3,Jaipur,Leather Wallet,Accessories,2260.45,6,13562.7
Store_12,Chennai,Sunglasses,Accessories,6812.37,41,279307.17
Store_45,Hyderabad,Leather Wallet,Accessories,6830.47,9,61474.23
Store_7,Hyderabad,Yoga Mat,Sports,7995.59,3,23986.77
Store_18,Bengaluru,Denim Jeans,Apparel,6774.82,36,243893.52
Store_3,Hyderabad,Formal Shirt,Apparel,7187.76,41,294698.16
Store_1,Ahmedabad,Running Shoes,Footwear,6545.9,20,130918.0
Store_16,Delhi,LED Lamp,Home & Kitchen,5515.3,11,60668.3
Store_44,Lucknow,LED Lamp,Home & Kitchen,5742.17,1,5742.17
Store_19,Ahmedabad,LED Lamp,Home & Kitchen,3396.1,30,101883.0 
Store_16,Delhi,Tennis Racket,Sports,4429.14,19,84153.66
Store_35,Mumbai,Tennis Racket,Sports,1370.48,5,6852.4
Store_31,Pune,Wireless Mouse,Electronics,299.73,33,9891.09
Store_11,Chennai,Wireless Mouse,Electronics,3696.48,7,25875.36
Store_23,Hyderabad,Formal Shirt,Apparel,4820.97,26,125345.22
Store_36,Hyderabad,Formal Shirt,Apparel,7813.63,13,101577.19
Store_15,Ahmedabad,LED Lamp,Home & Kitchen,1085.08,33,35807.64
Store_5,Hyderabad,Tennis Racket,Sports,7749.05,15,116235.75
Store_33,Bengaluru,Sunglasses,Accessories,3982.76,29,115500.04
Store_19,Delhi,Office Chair,Furniture,1903.42,40,76136.8
Store_37,Bengaluru,Ceramic Mug,Home & Kitchen,6418.72,48,308098.56
Store_27,Pune,Backpack,Accessories,2642.76,49,129495.24
Store_40,Ahmedabad,Yoga Mat,Sports,3440.31,35,120410.85
Store_4,Mumbai,Office Chair,Furniture,1604.82,45,72216.9
Store_15,Mumbai,Coffee Maker,Home & Kitchen,6245.68,2,12491.36
Store_1,Hyderabad,Yoga Mat,Sports,4119.94,32,131838.08
Store_17,Jaipur,Smartwatch,Electronics,506.7,44,22294.8
Store_26,Chennai,Ceramic Mug,Home & Kitchen,801.83,39,31271.37
Store_1,Delhi,Denim Jeans,Apparel,7355.58,3,22066.74
Store_43,Kolkata,Leather Wallet,Accessories,5665.39,11,62319.29
Store_38,Lucknow,Tennis Racket,Sports,3413.02,26,88738.52
Store_12,Mumbai,Backpack,Accessories,5565.61,11,61221.71
Store_16,Bengaluru,Backpack,Accessories,634.8,35,22218.0
Store_44,Bengaluru,Backpack,Accessories,6840.03,34,232561.02
Store_23,Jaipur,Yoga Mat,Sports,2063.09,28,57766.52
Store_36,Ahmedabad,Tennis Racket,Sports,6737.57,46,309928.22
Store_13,Ahmedabad,Basic T-Shirt,Apparel,2057.51,42,86415.42
Store_23,Ahmedabad,Leather Wallet,Accessories,4231.01,28,118468.28
Store_44,Pune,Backpack,Accessories,5980.53,38,227260.14
Store_43,Bengaluru,Wireless Mouse,Electronics,7429.32,44,326890.08
Store_34,Mumbai,LED Lamp,Home & Kitchen,1395.6,20,27912.0
Store_35,Mumbai,Bluetooth Headset,Electronics,7188.04,44,316273.76
Store_43,Jaipur,Running Shoes,Footwear,2511.78,1,2511.78
Store_36,Kolkata,Office Chair,Furniture,5245.61,35,183596.35
